original_sentence,truncated_sentence
Dante knew Aristotle directly from Latin translations of his works and indirectly through quotations in the works of Albert Magnus.,Dante knew Aristotle directly from
"Darling
 John DeCuir
 Vernon Dixon
 Hans Dreier
 Dante Ferretti
 Paul S.",Darling John DeCuir Vernon Dixon
"Darwin, too, noted these sorts of differences between similar kinds of animal, but unlike Aristotle used the data to come to the theory of evolution.","Darwin, too, noted these sorts"
"Dealy, who moved from Chicago to Fairhope.","Dealy, who moved from Chicago"
Deeply shadowed cavities can achieve an effective albedo approaching the zero of a black body.,Deeply shadowed cavities can achieve
Deliberately increasing albedo in urban areas can mitigate urban heat island.,Deliberately increasing albedo in urban
Demographers estimate that a minimum of 20–23% of people in Alabama are of predominantly English ancestry and state that the figure is probably much higher.,Demographers estimate that a minimum
"Despite concerns, anarchists enthusiastically participated in the Russian Revolution in opposition to the White movement, especially in the Makhnovshchina; however, they met harsh suppression after the Bolshevik government had stabilised, including during the Kronstadt rebellion.","Despite concerns, anarchists enthusiastically participated"
"Despite his dissatisfaction with McClellan's failure to reinforce Pope, Lincoln restored him to command of all forces around Washington.",Despite his dissatisfaction with McClellan's
"Despite his youth, he was one of the main Trojan war leaders, a ""horse fighter"" or ""chariot fighter"" according to Homer.","Despite his youth, he was"
"Despite massive population changes in the state from 1901 to 1961, the rural-dominated legislature refused to reapportion House and Senate seats based on population, as required by the state constitution to follow the results of decennial censuses.",Despite massive population changes in
"Disqualifications 
Seven films have had nominations revoked before the official award ceremony:
 The Circus (1928) – The film was voluntarily removed by the Academy from competitive categories, to award Charlie Chaplin a special award.",Disqualifications Seven films have had
"Donald concludes that, ""His repeated efforts to avoid collision in the months between inauguration and the firing on Ft.","Donald concludes that, ""His repeated"
"Drawing from mutualism, Mikhail Bakunin founded collectivist anarchism and entered the International Workingmen's Association, a class worker union later known as the First International that formed in 1864 to unite diverse revolutionary currents.","Drawing from mutualism, Mikhail Bakunin"
Dreams do not involve actually sensing a stimulus.,Dreams do not involve actually
Dred Scott v.,Dred Scott v.
"Due to a variety of reasons, including marketability and historical bans on interracial couples, a number of high-profile Oscars have been given to yellowface portrayals, as well as performances of Asian characters rewritten for white characters.",Due to a variety of
"During 1831 and 1832, Lincoln worked at a general store in New Salem, Illinois.","During 1831 and 1832, Lincoln"
"During Aristotle's time in the Macedonian court, he gave lessons not only to Alexander but also to two other future kings: Ptolemy and Cassander.",During Aristotle's time in the
"During Reconstruction, state legislators ratified a new state constitution in 1868 which created the state's first public school system and expanded women's rights.","During Reconstruction, state legislators ratified"
"During Roman times, there were many variant forms of the letter ""A"".","During Roman times, there were"
"During and after World War II, Alabama grew as the state's economy diversified with new industries.",During and after World War
"During important events such as protests and when spaces are being occupied, they are often called Temporary Autonomous Zones (TAZ), spaces where art, poetry, and surrealism are blended to display the anarchist ideal.",During important events such as
"During the classical era, anarchists had a militant tendency.","During the classical era, anarchists"
"During the second half of the 20th century, anarchism intermingled with the second wave of feminism, radicalising some currents of the feminist movement and being influenced as well.",During the second half of
"Each county has its own elected legislative branch, usually called the county commission.",Each county has its own
"Early influences on individualist forms of anarchism include William Godwin, Max Stirner, and Henry David Thoreau.",Early influences on individualist forms
Earth's average surface temperature due to its albedo and the greenhouse effect is currently about .,Earth's average surface temperature due
"Earth's surface albedo is regularly estimated via Earth observation satellite sensors such as NASA's MODIS instruments on board the Terra and Aqua satellites, and the CERES instrument on the Suomi NPP and JPSS.",Earth's surface albedo is regularly
"Education and move to Illinois
Lincoln was largely self-educated.",Education and move to Illinois
"Edward Carfagno
 Stuart Craig
 William S.",Edward Carfagno Stuart Craig William
"Ellenberg's essay is adapted from his 2021 book, Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and Everything Else, Penguin Press.",Ellenberg's essay is adapted from
"Empirical research 
Aristotle was the first person to study biology systematically, and biology forms a large part of his writings.",Empirical research Aristotle was the
"English (after  and ) and French, the second most common in Spanish, and the most common in Portuguese.",English (after and ) and
"Engraving 
To prevent information identifying the Oscar winners from leaking ahead of the ceremony, Oscar statuettes presented at the ceremony have blank baseplates.",Engraving To prevent information identifying
"Enraged over the death of Patroclus, Achilles ends his refusal to fight and takes the field, killing many men in his rage but always seeking out Hector.",Enraged over the death of
"Epistemology 
Aristotle's immanent realism means his epistemology is based on the study of things that exist or happen in the world, and rises to knowledge of the universal, whereas for Plato epistemology begins with knowledge of universal Forms (or ideas) and descends to knowledge of particular imitations of these.",Epistemology Aristotle's immanent realism means
"Eponyms 
The Aristotle Mountains in Antarctica are named after Aristotle.",Eponyms The Aristotle Mountains in
"Essays on Plato and Aristotle, Oxford University Press.","Essays on Plato and Aristotle,"
"Etymology 
The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river.",Etymology The European-American naming of
"Evolutionary 
Anarchists commonly employ direct action.",Evolutionary Anarchists commonly employ direct
"Evolutionary methods try to simulate what an anarchist society might be like, but revolutionary tactics, which have historically taken a violent turn, aim to overthrow authority and the state.",Evolutionary methods try to simulate
"Ferrer's approach was secular, rejecting both state and church involvement in the educational process whilst giving pupils large amounts of autonomy in planning their work and attendance.","Ferrer's approach was secular, rejecting"
"Fiala composed a list of common arguments against anarchism which includes critiques such as that anarchism is innately related to violence and destruction, not only in the pragmatic world, such as at protests, but in the world of ethics as well.",Fiala composed a list of
"Film companies will spend as much as several million dollars on marketing to awards voters for a movie in the running for Best Picture, in attempts to improve chances of receiving Oscars and other movie awards conferred in Oscar season.",Film companies will spend as
Films eligible in the Documentary and International categories were made available in different sections of the platform.,Films eligible in the Documentary
"First was the monumental or lapidary style, which was used when inscribing on stone or other ""permanent"" media.",First was the monumental or
"First, the qualifying period for release does not coincide with a calendar year, instead covering one year starting on October 1, and ending on September 30 of the calendar year before the ceremony.","First, the qualifying period for"
"Following dissent from Academy members, they announced that they would indeed air all 24 categories live.","Following dissent from Academy members,"
"Following the death of Patroclus, Nestor's son Antilochus becomes Achilles' closest companion.","Following the death of Patroclus,"
"Following the show, Variety reported that ABC was, in negotiating an extension to its contract to broadcast the Oscars, seeking to have more creative control over the broadcast itself.","Following the show, Variety reported"
"Following the war, the state remained chiefly agricultural, with an economy tied to cotton.","Following the war, the state"
"For Aristotle, the soul is the form of a living being.","For Aristotle, the soul is"
"For example, the 2009 Best Picture winner, The Hurt Locker, was originally first released in 2008, but did not qualify for the 2008 awards, as it did not play its Oscar-qualifying run in Los Angeles until mid-2009, thus qualifying for the 2009 awards.","For example, the 2009 Best"
"For example, the effects of a spectrally responsive albedo are illustrated by the differences between the spectrally weighted albedo of solar photovoltaic technology based on hydrogenated amorphous silicon (a-Si:H) and crystalline silicon (c-Si)-based compared to traditional spectral-integrated albedo predictions.","For example, the effects of"
"For nearly a hundred years local and state elections in Alabama were decided in the Democratic Party primary, with generally only token Republican challengers running in the general election.",For nearly a hundred years
"For the second ceremony in 1930, and the rest of the first decade, the results were given to newspapers for publication at 11:00 pm on the night of the awards.",For the second ceremony in
"For this first ceremony, winners were announced to the media three months earlier.","For this first ceremony, winners"
"For this reason, the greater heat absorption by trees could offset some of the carbon benefits of afforestation (or offset the negative climate impacts of deforestation).","For this reason, the greater"
Forests generally have a low albedo because the majority of the ultraviolet and visible spectrum is absorbed through photosynthesis.,Forests generally have a low
Fresh 'black' ice exhibits Fresnel reflection.,Fresh 'black' ice exhibits Fresnel
"Friedrich Engels, considered to be one of the principal founders of Marxism, criticised anarchism's anti-authoritarianism as inherently counter-revolutionary because in his view a revolution is by itself authoritarian.","Friedrich Engels, considered to be"
"From 1826 to 1846, Tuscaloosa served as Alabama's capital.","From 1826 to 1846, Tuscaloosa"
"From 1853 to 1860, one of his largest clients was the Illinois Central Railroad.","From 1853 to 1860, one"
"From 1901 through the 1960s, the state did not redraw election districts as population grew and shifted within the state during urbanization and industrialization of certain areas.","From 1901 through the 1960s,"
"From 1950 to 1960, the awards were presented at Hollywood's Pantages Theatre.","From 1950 to 1960, the"
"From 1973 to 2020 and since 2022, all Academy Awards ceremonies have ended with the Academy Award for Best Picture.",From 1973 to 2020 and
"From July5 to August 2, 1819, delegates met to prepare the new state constitution.","From July5 to August 2,"
"From the data he collected and documented, Aristotle inferred quite a number of rules relating the life-history features of the live-bearing tetrapods (terrestrial placental mammals) that he studied.",From the data he collected
"From the early 2000s to 2020, the Alabamian catfish industry has declined from 250 farms and 4 processors to 66 farms and 2 processors.",From the early 2000s to
"Frémont, the 1856 Republican presidential nominee, without consulting Washington, issued a martial edict freeing slaves of the rebels.","Frémont, the 1856 Republican presidential"
"Further reading 
 
  
  Criticism of philosophical anarchism.",Further reading Criticism of philosophical
"Further reading 
The secondary literature on Aristotle is vast.",Further reading The secondary literature
"Furthermore, it was a national duty to ensure the republic stands in every state.","Furthermore, it was a national"
"General McClellan
After the Union rout at Bull Run and Winfield Scott's retirement, Lincoln appointed Major General George B.",General McClellan After the Union
General Ulysses Grant's victories at the Battle of Shiloh and in the Vicksburg campaign impressed Lincoln.,General Ulysses Grant's victories at
"Generally prohibited in the West at large, school corporal punishment is not unusual in Alabama, with 27,260 public school students paddled at least one time, according to government data for the 2011–2012 school year.",Generally prohibited in the West
"Gershwin based An American in Paris on a melodic fragment called ""Very Parisienne"", written in 1926 on his first visit to Paris as a gift to his hosts, Robert and Mabel Schirmer.",Gershwin based An American in
Gershwin did not particularly like Walter Damrosch's interpretation at the world premiere of An American in Paris.,Gershwin did not particularly like
Gershwin greeted Ravel in New York in March 1928 during a party held for Ravel's birthday by Éva Gauthier.,Gershwin greeted Ravel in New
"Gershwin scored the piece for the standard instruments of the symphony orchestra plus celesta, saxophones, and automobile horns.",Gershwin scored the piece for
Gershwin strongly encouraged Ravel to come to the United States for a tour.,Gershwin strongly encouraged Ravel to
"Gershwin's first A episode introduces the two main ""walking"" themes in the ""Allegretto grazioso"" and develops a third theme in the ""Subito con brio"".",Gershwin's first A episode introduces
"Grant in 1864 waged the bloody Overland Campaign, which exacted heavy losses on both sides.",Grant in 1864 waged the
Grant's army moved steadily south.,Grant's army moved steadily south.
"Grant's bloody stalemates damaged Lincoln's re-election prospects, and many Republicans feared defeat.",Grant's bloody stalemates damaged Lincoln's
"Grauman's Chinese Theatre in Hollywood then hosted the awards from 1944 to 1946, followed by the Shrine Auditorium in Los Angeles from 1947 to 1948.",Grauman's Chinese Theatre in Hollywood
Greek Christian scribes played a crucial role in the preservation of Aristotle by copying all the extant Greek language manuscripts of the corpus.,Greek Christian scribes played a
Hardin though he prevailed with the party in limiting Hardin to one term.,Hardin though he prevailed with
"Harrison was charged with the murder of Greek Crafton who, as he lay dying of his wounds, confessed to Cartwright that he had provoked Harrison.",Harrison was charged with the
"Harvey demonstrated the circulation of the blood, establishing that the heart functioned as a pump rather than being the seat of the soul and the controller of the body's heat, as Aristotle thought.",Harvey demonstrated the circulation of
"He also categorizes rhetoric into three genres: epideictic (ceremonial speeches dealing with praise or blame), forensic (judicial speeches over guilt or innocence), and deliberative (speeches calling on an audience to make a decision on an issue).",He also categorizes rhetoric into
He applies the term mimesis both as a property of a work of art and also as the product of the artist's intention and contends that the audience's realisation of the mimesis is vital to understanding the work itself.,He applies the term mimesis
"He arranged for an intermediary to inquire into Grant's political intentions, and once assured that he had none, Lincoln promoted Grant to the newly revived rank of Lieutenant General, a rank which had been unoccupied since George Washington.",He arranged for an intermediary
"He brought back four Parisian taxi horns for the New York premiere of the composition, which took place on December 13, 1928, in Carnegie Hall, with Walter Damrosch conducting the New York Philharmonic.",He brought back four Parisian
He claimed that dreams are not foretelling and not sent by a divine being.,He claimed that dreams are
"He contributed to almost every field of human knowledge then in existence, and he was the founder of many new fields.",He contributed to almost every
"He declared that such an amendment would ""clinch the whole matter"" and by December 1863 an amendment was brought to Congress.",He declared that such an
"He denounced secession as anarchy, and explained that majority rule had to be balanced by constitutional restraints.","He denounced secession as anarchy,"
"He describes the catfish, electric ray, and frogfish in detail, as well as cephalopods such as the octopus and paper nautilus.","He describes the catfish, electric"
He elevated Henry Halleck in July and appointed John Pope as head of the new Army of Virginia.,He elevated Henry Halleck in
"He had a low opinion of retail, believing that contrary to using money to procure things one needs in managing the household, retail trade seeks to make a profit.",He had a low opinion
"He had to return to Europe before the ceremony, so the Academy agreed to give him the prize earlier; this made him the first Academy Award winner in history.",He had to return to
"He has been memorialized in many town, city, and county names, including the capital of Nebraska.",He has been memorialized in
"He insisted that morality required opposition to slavery and rejected any ""groping for some middle ground between the right and the wrong"".",He insisted that morality required
"He is seen in Hell's second circle, that of lust.",He is seen in Hell's
"He notes that an animal's structure is well matched to function so birds like the heron (which live in marshes with soft mud and live by catching fish) have a long neck, long legs, and a sharp spear-like beak, whereas ducks that swim have short legs and webbed feet.",He notes that an animal's
"He probably experienced the Eleusinian Mysteries as he wrote when describing the sights one viewed at the Eleusinian Mysteries, ""to experience is to learn"" [παθείν μαθεĩν].",He probably experienced the Eleusinian
He relied on his combative Secretary of State William Seward while working closely with Senate Foreign Relations Committee chairman Charles Sumner.,He relied on his combative
He responded to the unprecedented political and military crisis as commander-in-chief by exercising unprecedented authority.,He responded to the unprecedented
He settled in the Tombigbee District during the early 1770s.,He settled in the Tombigbee
He signed Senator Charles Sumner's Freedmen's Bureau bill that set up a temporary federal agency designed to meet the immediate needs of former slaves.,He signed Senator Charles Sumner's
He sought to heal the war-torn nation through reconciliation.,He sought to heal the
"He spent the next 100 days, between September 22 and January 1, preparing the army and the nation for emancipation, while Democrats rallied their voters by warning of the threat that freed slaves posed to northern whites.",He spent the next 100
"He spent two years observing and describing the zoology of Lesbos and the surrounding seas, including in particular the Pyrrha lagoon in the centre of Lesbos.",He spent two years observing
"He stated that Damrosch's sluggish, dragging tempo caused him to walk out of the hall during a matinee performance of this work.","He stated that Damrosch's sluggish,"
He stated that geological change was too slow to be observed in one person's lifetime.,He stated that geological change
"He took blue mass pills, which contained mercury, to treat constipation.","He took blue mass pills,"
"He tracked all phases of the effort, consulting with governors, and selecting generals based on their success, their state, and their party.",He tracked all phases of
"He used the ancient Greek term pepeiramenoi to mean observations, or at most investigative procedures like dissection.",He used the ancient Greek
"He was a descendant of Samuel Lincoln, an Englishman who migrated from Hingham, Norfolk, to its namesake, Hingham, Massachusetts, in 1638.",He was a descendant of
"He was admitted to the Illinois bar on September 9, 1836, and moved to Springfield and began to practice law under John T.",He was admitted to the
He was born in the city of Stagira in northern Greece during the Classical period.,He was born in the
"He was deeply familiar with the Bible, quoting and praising it.",He was deeply familiar with
He was the first Republican president and his victory was entirely due to his support in the North and West.,He was the first Republican
"He was the first person known to conjecture, in his book Meteorology, the existence of a landmass in the southern high-latitude region, which he called Antarctica.",He was the first person
He was viewed by abolitionists as a champion of human liberty.,He was viewed by abolitionists
"He wrote many dialogues, of which only fragments have survived.","He wrote many dialogues, of"
"He wrote that because it is impossible to determine the value of every good through a count of the number of other goods it is worth, the necessity arises of a single universal standard of measurement.",He wrote that because it
"Healthcare 
UAB Hospital, USA Health University Hospital, Huntsville Hospital, and Children's Hospital of Alabama are the only LevelI trauma centers in Alabama.","Healthcare UAB Hospital, USA Health"
"Herodotus, Pliny the Elder and Strabo reported on the existence of a town Achílleion (Ἀχίλλειον), built by settlers from Mytilene in the sixth century BC, close to the hero's presumed burial mound in the Troad.","Herodotus, Pliny the Elder and"
"Herophilus also distinguished between veins and arteries, noting that the latter pulse while the former do not.",Herophilus also distinguished between veins
"His allies, the War Democrats and the Radical Republicans, demanded harsh treatment of the Southern Confederates.","His allies, the War Democrats"
"His father, Nicomachus, was the personal physician to King Amyntas of Macedon.","His father, Nicomachus, was the"
His formal schooling was from itinerant teachers.,His formal schooling was from
His head was covered with long wavy chestnut-colored hair.,His head was covered with
His likeness also appears on many postage stamps.,His likeness also appears on
His mother Thetis comes to comfort the distraught Achilles.,His mother Thetis comes to
"His position on war was founded on a legal argument regarding the Constitution as essentially a contract among the states, and all parties must agree to pull out of the contract.",His position on war was
"His system had eleven grades of animal, from highest potential to lowest, expressed in their form at birth: the highest gave live birth to hot and wet creatures, the lowest laid cold, dry mineral-like eggs.",His system had eleven grades
"His term aitia is traditionally translated as ""cause"", but it does not always refer to temporal sequence; it might be better translated as ""explanation"", but the traditional rendering will be employed here.",His term aitia is traditionally
"His writings are divisible into two groups: the ""exoteric"", intended for the public, and the ""esoteric"", for use within the Lyceum school.",His writings are divisible into
"His writings cover a broad range of subjects spanning the natural sciences, philosophy, linguistics, economics, politics, psychology and the arts.",His writings cover a broad
"Historian David Herbert Donald described the speech as ""a superb political move for an unannounced presidential aspirant.",Historian David Herbert Donald described
Historians agree that it is impossible to predict how Reconstruction would have proceeded had Lincoln lived.,Historians agree that it is
Homer's Iliad is the most famous narrative of Achilles' deeds in the Trojan War.,Homer's Iliad is the most
Hondo (1953) – Removed from the Best Story ballot after letters from the producer and nominee questioned its inclusion in the category.,Hondo (1953) – Removed from
"Hooker was routed by Lee at the Battle of Chancellorsville in May, then resigned and was replaced by George Meade.",Hooker was routed by Lee
House of Representatives; he was defeated by John J.,House of Representatives; he was
"However, Lincoln's articulation of the issues had given him a national political presence.","However, Lincoln's articulation of the"
"However, as mentioned above, waviness causes an appreciable reduction.","However, as mentioned above, waviness"
Humans have a rational soul.,Humans have a rational soul.
"Humans have lived in societies without formal hierarchies long before the establishment of states, realms, or empires.",Humans have lived in societies
"Hundreds of settlers were killed, 30,000 were displaced from their homes, and Washington was deeply alarmed.","Hundreds of settlers were killed,"
"Hélène Monsacré (1984), Les larmes d'Achille.","Hélène Monsacré (1984), Les larmes"
"I-22 enters the state from Mississippi and connects Birmingham with Memphis, Tennessee.",I-22 enters the state from
"ISBN 9781984879059
 
 
 
 
 
 
 .",ISBN 9781984879059 .
"Ice is very reflective, therefore it reflects far more solar energy back to space than the other types of land area or open water.","Ice is very reflective, therefore"
"Ice–albedo feedback is a positive feedback climate process where a change in the area of ice caps, glaciers, and sea ice alters the albedo and surface temperature of a planet.",Ice–albedo feedback is a positive
"If Earth were frozen entirely (and hence be more reflective), the average temperature of the planet would drop below .",If Earth were frozen entirely
"In 1816, the family moved to Indiana where the land surveys and titles were more reliable.","In 1816, the family moved"
"In 1832, he declared his candidacy for the Illinois House of Representatives, but interrupted his campaign to serve as a captain in the Illinois Militia during the Black Hawk War.","In 1832, he declared his"
"In 1839, Lincoln met Mary Todd in Springfield, Illinois, and the following year they became engaged.","In 1839, Lincoln met Mary"
"In 1849, he returned to his successful law practice in Springfield, Illinois.","In 1849, he returned to"
"In 1854, Lincoln was elected to the Illinois legislature but declined to take his seat.","In 1854, Lincoln was elected"
"In 1861, Lincoln signed the second and third Morrill Tariffs, following the first enacted by Buchanan.","In 1861, Lincoln signed the"
"In 1862, Lincoln removed McClellan for the general's continued inaction.","In 1862, Lincoln removed McClellan"
"In 1874, the political coalition of white Democrats known as the Redeemers took control of the state government from the Republicans, in part by suppressing the black vote through violence, fraud, and intimidation.","In 1874, the political coalition"
"In 1890, Elisabeth of Bavaria, Empress of Austria, had a summer palace built in Corfu.","In 1890, Elisabeth of Bavaria,"
"In 1901, Catalan anarchist and free thinker Francisco Ferrer established the Escuela Moderna in Barcelona as an opposition to the established education system which was dictated largely by the Catholic Church.","In 1901, Catalan anarchist and"
"In 1972, for the first time since 1901, the legislature completed the congressional redistricting based on the decennial census.","In 1972, for the first"
"In 1984, under the Davis–Strong Act, the state legislature established the Alabama Indian Affairs Commission.","In 1984, under the Davis–Strong"
"In 1989, Michael Todd's grandson tried to sell Todd's Best Picture Oscar for his 1956 production of Around the World in 80 Days to a movie prop collector.","In 1989, Michael Todd's grandson"
"In 1992, Harold Russell consigned his 1946 Oscar for Best Supporting Actor for The Best Years of Our Lives to auction to raise money for his wife's medical expenses.","In 1992, Harold Russell consigned"
"In 1993, an In Memoriam segment was introduced, honoring those who had made a significant contribution to cinema who had died in the preceding 12 months, a selection compiled by a small committee of Academy members.","In 1993, an In Memoriam"
"In 2001, Alabama Supreme Court chief justice Roy Moore installed a statue of the Ten Commandments in the capitol in Montgomery.","In 2001, Alabama Supreme Court"
"In 2002, the 11th US Circuit Court ordered the statue removed, but Moore refused to follow the court order, which led to protests around the capitol in favor of keeping the monument.","In 2002, the 11th US"
"In 2004, Hurricane Ivan, a category 3 storm upon landfall, struck the state and caused over $18 billion of damage.","In 2004, Hurricane Ivan, a"
"In 2007, the Alabama Legislature passed, and Republican governor Bob Riley signed a resolution expressing ""profound regret"" over slavery and its lingering impact.","In 2007, the Alabama Legislature"
"In 2012, the results of a study conducted by the Los Angeles Times were published describing the demographic breakdown of approximately 88% of AMPAS' voting membership.","In 2012, the results of"
"In 2018, Mobile's Mardi Gras parade was the state's top event, producing the most tourists with an attendance of 892,811.","In 2018, Mobile's Mardi Gras"
"In 2019, Congress officially dedicated room H-226 in the United States Capitol to Abraham Lincoln.","In 2019, Congress officially dedicated"
"In 2021, for the 2022 Oscars, the Academy banned all physical screeners and in-person screenings, restricting official membership viewing to the Academy Screening Room.","In 2021, for the 2022"
"In 272 words, and three minutes, Lincoln asserted that the nation was born not in 1789, but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal"".","In 272 words, and three"
"In Alabama, the Southern Baptist Convention has the highest number of adherents with 1,380,121; this is followed by the United Methodist Church with 327,734 adherents, non-denominational Evangelical Protestant with 220,938 adherents, and the Catholic Church with 150,647 adherents.","In Alabama, the Southern Baptist"
"In Aristotle's terminology, ""natural philosophy"" is a branch of philosophy examining the phenomena of the natural world, and includes fields that would be regarded today as physics, biology and other natural sciences.","In Aristotle's terminology, ""natural philosophy"""
"In August 1861, General John C.","In August 1861, General John"
"In August 2018, the Academy announced that several categories would not be televised live, but rather be recorded during commercial breaks and aired later in the ceremony.","In August 2018, the Academy"
"In Basra, religious sects preached against the state.","In Basra, religious sects preached"
"In Book VIII, he distinguishes the matter of the substance as the substratum, or the stuff of which it is composed.","In Book VIII, he distinguishes"
"In Dares Phrygius' Account of the Destruction of Troy, the Latin summary through which the story of Achilles was transmitted to medieval Europe, as well as in older accounts, Troilus was a young Trojan prince, the youngest of King Priam's and Hecuba's five legitimate sons (or according other sources, another son of Apollo).",In Dares Phrygius' Account of
"In December 2011, Orson Welles' 1941 Oscar for Citizen Kane (Academy Award for Best Original Screenplay) was put up for auction, after his heirs won a 2004 court decision contending that Welles did not sign any agreement to return the statue to the Academy.","In December 2011, Orson Welles'"
"In Europe, various sects developed anti-state and libertarian tendencies.","In Europe, various sects developed"
"In FY 2006–2007, Alabama appropriated $3,775,163,578 for primary and secondary education.","In FY 2006–2007, Alabama appropriated"
"In Greek mythology, Achilles ( ) or Achilleus () was a hero of the Trojan War who was known as being the greatest of all the Greek warriors.","In Greek mythology, Achilles ("
"In Il Mito Greco, edd.","In Il Mito Greco, edd."
"In July, the Confiscation Act of 1862 was enacted, providing court procedures to free the slaves of those convicted of aiding the rebellion; Lincoln approved the bill despite his belief that it was unconstitutional.","In July, the Confiscation Act"
"In June 1862, Congress passed an act banning slavery on all federal territory, which Lincoln signed.","In June 1862, Congress passed"
"In Kentucky and Indiana, Thomas worked as a farmer, cabinetmaker, and carpenter.","In Kentucky and Indiana, Thomas"
"In Lincoln's first inaugural address, he explored the nature of democracy.","In Lincoln's first inaugural address,"
"In March 1830, fearing another milk sickness outbreak, several members of the extended Lincoln family, including Abraham, moved west to Illinois, a free state, and settled in Macon County.","In March 1830, fearing another"
"In On the Soul, Aristotle famously criticizes Plato's theory of the soul and develops his own in response to Plato's.","In On the Soul, Aristotle"
"In Politics, Aristotle addresses the city, property, and trade.","In Politics, Aristotle addresses the"
"In Roman and medieval literature 
The Romans, who traditionally traced their lineage to Troy, took a highly negative view of Achilles.",In Roman and medieval literature
"In Tennessee and Arkansas, Lincoln respectively appointed Johnson and Frederick Steele as military governors.","In Tennessee and Arkansas, Lincoln"
"In a 2007 survey, nearly 70% of respondents could name all four of the Christian Gospels.","In a 2007 survey, nearly"
"In a symbolic ceremony, the bill was signed in the Alabama State Capitol, which housed Congress of the Confederate States of America.","In a symbolic ceremony, the"
"In addition to his works on ethics, which address the individual, Aristotle addressed the city in his work titled Politics.",In addition to his works
"In addition to the Academy Award of Merit (Oscar award), there are nine honorary (non-competitive) awards presented by the Academy from time to time (except for the Academy Honorary Award, the Technical Achievement Award, and the Student Academy Awards, which are presented annually):
 Governors Awards:
 The Academy Honorary Award (annual) (which may or may not be in the form of an Oscar statuette); 
 The Irving G.",In addition to the Academy
"In addition, Alabama produces aerospace and electronic products, mostly in the Huntsville area, the location of NASA's George C.","In addition, Alabama produces aerospace"
"In algebra, the letter a along with various other letters of the alphabet is often used to denote a variable, with various conventional meanings in different areas of mathematics.","In algebra, the letter a"
"In an 1882 letter he wrote that ""Linnaeus and Cuvier have been my two gods, though in very different ways, but they were mere schoolboys to old Aristotle"".",In an 1882 letter he
"In contrast to the primarily agricultural economy of the previous century, this was only about one percent of the state's gross domestic product.",In contrast to the primarily
"In detailed studies, the directional reflectance properties of astronomical bodies are often expressed in terms of the five Hapke parameters which semi-empirically describe the variation of albedo with phase angle, including a characterization of the opposition effect of regolith surfaces.","In detailed studies, the directional"
"In directing the Union's war strategy, Lincoln valued the advice of Gen.",In directing the Union's war
"In dreams, sensation is still involved, but in an altered manner.","In dreams, sensation is still"
"In his 1852 eulogy for Clay, Lincoln highlighted the latter's support for gradual emancipation and opposition to ""both extremes"" on the slavery issue.",In his 1852 eulogy for
"In his On Generation and Corruption, Aristotle related each of the four elements proposed earlier by Empedocles, earth, water, air, and fire, to two of the four sensible qualities, hot, cold, wet, and dry.",In his On Generation and
"In his Springfield practice, Lincoln handled ""every kind of business that could come before a prairie lawyer"".","In his Springfield practice, Lincoln"
"In his first campaign speech after returning from his military service, Lincoln observed a supporter in the crowd under attack, grabbed the assailant by his ""neck and the seat of his trousers"", and tossed him.",In his first campaign speech
"In it, he deemed the war casualties to be God's will.","In it, he deemed the"
"In literature, anarchism was mostly associated with the New Apocalyptics and the neo-romanticism movement.","In literature, anarchism was mostly"
"In medieval Europe, there was no anarchistic activity except some ascetic religious movements.","In medieval Europe, there was"
"In most categories, the winner is selected from among the nominees by plurality voting of all members.","In most categories, the winner"
"In most instances, the transmitted pulse is circularly polarized and the received pulse is measured in the same sense of polarization as the transmitted pulse (SC) and the opposite sense (OC).","In most instances, the transmitted"
"In other words, a memory is a mental picture (phantasm) that can be recovered.","In other words, a memory"
"In recent years, these gifts have also been extended to award nominees and winners.","In recent years, these gifts"
"In response to rumors of a renewed draft, the editors of the New York World and the Journal of Commerce published a false draft proclamation that created an opportunity for the editors and others to corner the gold market.",In response to rumors of
"In seasonally snow-covered zones, winter albedos of treeless areas are 10% to 50% higher than nearby forested areas because snow does not cover the trees as readily.","In seasonally snow-covered zones, winter"
"In some accounts, Achilles' original name was ""Ligyron"" and he was later named Achilles by his tutor Chiron.","In some accounts, Achilles' original"
"In summary, the matter used to make a house has potentiality to be a house and both the activity of building and the form of the final house are actualities, which is also a final cause or end.","In summary, the matter used"
"In terms of broadcast length, the ceremony generally averages three and a half hours.","In terms of broadcast length,"
In that particular change he introduces the concept of potentiality (dynamis) and actuality (entelecheia) in association with the matter and the form.,In that particular change he
"In the 1840s, Lincoln subscribed to the Doctrine of Necessity, a belief that the human mind was controlled by a higher power.","In the 1840s, Lincoln subscribed"
"In the 1850s, Lincoln asserted his belief in ""providence"" in a general way, and rarely used the language or imagery of the evangelicals; he regarded the republicanism of the Founding Fathers with an almost religious reverence.","In the 1850s, Lincoln asserted"
"In the 1862 midterm elections the Republicans suffered severe losses due to rising inflation, high taxes, rumors of corruption, suspension of habeas corpus, military draft law, and fears that freed slaves would come North and undermine the labor market.",In the 1862 midterm elections
"In the 1980s, an omnibus redistricting case, Dillard v.","In the 1980s, an omnibus"
